IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
38.180.15.138,443,TRUE,FRA,Europe,Frankfurt,191 ms,10.42
37.221.126.123,443,TRUE,ARN,Europe,Stockholm,201 ms,10.42
45.14.246.36,2053,TRUE,KBP,Europe,Kyiv,152 ms,10.4
38.143.0.59,443,TRUE,LAX,North America,Los Angeles,163 ms,10.4
195.16.74.188,2053,TRUE,IST,Europe,Istanbul,164 ms,10.4
94.156.2.137,443,TRUE,AMS,Europe,Amsterdam,161 ms,10.39
137.220.34.134,8443,TRUE,SEA,North America,Seattle,185 ms,10.35
38.180.161.147,2053,TRUE,FRA,Europe,Frankfurt,169 ms,10.33
38.180.69.31,8443,TRUE,AMS,Europe,Amsterdam,135 ms,10.32
91.92.16.85,443,TRUE,AMS,Europe,Amsterdam,150 ms,10.32
94.131.108.151,8443,TRUE,IST,Europe,Istanbul,197 ms,10.29
173.242.121.248,34237,TRUE,LAX,North America,Los Angeles,193 ms,10.28
192.248.174.234,8443,TRUE,LHR,Europe,London,193 ms,10.24
172.233.51.39,2053,TRUE,AMS,Europe,Amsterdam,212 ms,10.24
172.232.133.213,2053,TRUE,ARN,Europe,Stockholm,176 ms,10.23
195.16.74.173,8443,TRUE,IST,Europe,Istanbul,178 ms,10.22
38.180.104.27,2053,TRUE,IST,Europe,Istanbul,249 ms,10.22
194.58.56.46,443,TRUE,AMS,Europe,Amsterdam,162 ms,10.2
95.164.85.23,443,TRUE,AMS,Europe,Amsterdam,190 ms,10.2
46.3.100.136,443,TRUE,NRT,Asia Pacific,Tokyo,54 ms,10.19
38.47.116.136,34237,TRUE,LAX,North America,Los Angeles,161 ms,10.18
91.92.16.81,443,TRUE,AMS,Europe,Amsterdam,166 ms,10.17
46.101.204.140,443,TRUE,FRA,Europe,Frankfurt,206 ms,10.14
199.193.126.19,443,TRUE,LAX,North America,Los Angeles,164 ms,10.13
23.94.216.163,2053,TRUE,AMS,Europe,Amsterdam,168 ms,10.11
66.245.194.136,2096,TRUE,MAN,Europe,Manchester,178 ms,10.08
23.94.216.231,8443,TRUE,AMS,Europe,Amsterdam,175 ms,10.07
38.47.117.77,443,TRUE,LAX,North America,Los Angeles,158 ms,10.06
94.156.2.186,443,TRUE,AMS,Europe,Amsterdam,161 ms,10.06
94.131.123.251,2053,TRUE,IST,Europe,Istanbul,168 ms,10.06
95.164.10.50,443,TRUE,CPH,Europe,Copenhagen,172 ms,10.03
38.59.242.131,443,TRUE,SJC,North America,San Jose,162 ms,9.95
5.61.56.175,8443,TRUE,AMS,Europe,Amsterdam,169 ms,9.95
37.252.5.75,443,TRUE,OSL,Europe,Oslo,246 ms,9.95
173.242.124.213,443,TRUE,LAX,North America,Los Angeles,203 ms,9.93
37.221.126.43,2053,TRUE,ARN,Europe,Stockholm,238 ms,9.88
193.57.136.195,8443,TRUE,IST,Europe,Istanbul,158 ms,9.8
51.91.215.11,2053,TRUE,LHR,Europe,London,248 ms,9.78
38.180.99.226,2053,TRUE,AMS,Europe,Amsterdam,129 ms,9.76
38.58.177.116,34237,TRUE,SLC,North America,Salt Lake City,197 ms,9.75
207.246.100.241,34237,TRUE,LAX,North America,Los Angeles,201 ms,9.74
192.3.187.82,8443,TRUE,YYZ,North America,Toronto,281 ms,9.63
54.38.59.230,2053,TRUE,WAW,Europe,Warsaw,186 ms,9.62
107.175.76.16,443,TRUE,YYZ,North America,Toronto,277 ms,9.6
38.47.116.39,34237,TRUE,LAX,North America,Los Angeles,183 ms,9.59
